number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,state
96,0.016649122186581208,2020-11-25 00:38:55.039230,2020-11-25 00:43:50.653315,0 days 00:04:55.614085,relu,"[512, 448, 384, 320]",0.28624223253988523,0.22261146109344604,0.46984365622902446,0.28792659231172063,0.504794549876537,COMPLETE
97,0.01669112925946396,2020-11-25 00:43:50.677252,2020-11-25 00:48:45.531893,0 days 00:04:54.854641,relu,"[512, 448, 384, 320]",0.2900560743629306,0.22228887527959124,0.4766782428493794,0.28989919023844507,0.5123848975293068,COMPLETE
98,0.0167000983623046,2020-11-25 00:48:45.557824,2020-11-25 00:53:40.866168,0 days 00:04:55.308344,relu,"[512, 448, 384, 320]",0.28452340813662724,0.2713270775297776,0.5138736479550534,0.30893999366831404,0.5022178028081776,COMPLETE
99,0.016640520652884027,2020-11-25 00:53:40.890104,2020-11-25 00:58:36.104770,0 days 00:04:55.214666,relu,"[512, 448, 384, 320]",0.3497795394342568,0.22810897532399854,0.45438950972972847,0.21053338150929193,0.5197348559714767,COMPLETE
100,0.016785679535891017,2020-11-25 01:57:47.215613,2020-11-25 02:02:42.604304,0 days 00:04:55.388691,relu,"[512, 448, 384, 320]",0.3437746531742396,0.226871760038287,0.48656874124010896,0.21187852192904585,0.5975845842777296,COMPLETE
101,0.01673926310716823,2020-11-25 02:02:42.628492,2020-11-25 02:07:36.948971,0 days 00:04:54.320479,relu,"[512, 448, 384, 320]",0.3751663489508133,0.25252632055508484,0.45726131804729425,0.28412841696484015,0.5235770128747645,COMPLETE
102,0.016638999569018303,2020-11-25 02:07:36.973577,2020-11-25 02:12:32.622406,0 days 00:04:55.648829,relu,"[512, 448, 384, 320]",0.3562384776088828,0.23304828908682496,0.46773079839075304,0.20046497805574504,0.45473034861976713,COMPLETE
103,0.016607581918642558,2020-11-25 02:12:32.646599,2020-11-25 02:17:08.962968,0 days 00:04:36.316369,relu,"[512, 448, 384, 320]",0.3549600858077557,0.2164234675462604,0.4930440755314428,0.2121319611531573,0.45833584978348163,COMPLETE
104,0.01664422598096024,2020-11-25 02:17:08.986882,2020-11-25 02:21:44.624536,0 days 00:04:35.637654,relu,"[512, 448, 384, 320]",0.35440569251989196,0.21708344985959982,0.5058067230217411,0.20001021701142185,0.4599992343091337,COMPLETE
105,0.016659200232182772,2020-11-25 02:21:44.652888,2020-11-25 02:26:18.995288,0 days 00:04:34.342400,relu,"[512, 448, 384, 320]",0.4007161517777411,0.21388497738187845,0.4977080535472929,0.2014081151321181,0.4550801678107599,COMPLETE
106,0.016654938222600033,2020-11-25 02:26:19.019523,2020-11-25 02:30:54.182501,0 days 00:04:35.162978,relu,"[512, 448, 384, 320]",0.35920080928447734,0.23331430752812438,0.5366153402448078,0.21489829656396464,0.4443776212083611,COMPLETE
107,0.016619387433873617,2020-11-25 02:30:54.205516,2020-11-25 02:35:28.988119,0 days 00:04:34.782603,relu,"[512, 448, 384, 320]",0.353959600480934,0.2188754229955248,0.5151278499284819,0.21110853382227496,0.4728122997382806,COMPLETE
