number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
74,0.015341832314954161,2020-11-22 10:19:30.426757,2020-11-22 11:05:51.947929,0 days 00:46:21.521172,0.1,1.1991779023051926e-07,1.3128771628445915e-05,2,1974,4,COMPLETE
75,0.015346912386402272,2020-11-22 11:05:52.059283,2020-11-22 11:52:13.667738,0 days 00:46:21.608455,0.1,1.307748234149143e-09,1.4614384315845899e-05,2,1946,4,COMPLETE
76,0.015340599345577537,2020-11-22 11:52:13.851900,2020-11-22 12:40:19.268488,0 days 00:48:05.416588,0.15000000000000002,7.571753969685388e-09,2.557068619933985e-05,2,2198,4,COMPLETE
77,0.015342079549689512,2020-11-22 12:40:19.481374,2020-11-22 13:28:15.495112,0 days 00:47:56.013738,0.15000000000000002,5.636983241289129e-09,2.431754990942764e-05,2,1852,4,COMPLETE
78,0.015363270124572897,2020-11-22 13:28:15.653222,2020-11-22 14:14:29.523478,0 days 00:46:13.870256,0.1,3.078049969205809e-08,7.434954968870065e-07,2,1560,4,COMPLETE
79,0.015380681366656816,2020-11-22 14:14:29.788323,2020-11-22 15:01:01.733192,0 days 00:46:31.944869,0.1,9.317615859942994e-07,2.063193432498028e-06,3,2984,4,COMPLETE
80,0.015379296864854298,2020-11-22 15:01:01.913841,2020-11-22 16:16:08.216027,0 days 01:15:06.302186,1.0,2.5817954050453363e-06,3.2327767405771874e-05,2,2384,4,COMPLETE
81,0.015343773769149999,2020-11-22 16:16:08.383614,2020-11-22 17:04:11.697376,0 days 00:48:03.313762,0.15000000000000002,6.7948243349364505e-09,9.501526676327465e-06,2,1825,4,COMPLETE
82,0.01535857898727427,2020-11-22 17:04:11.973496,2020-11-22 17:52:01.521554,0 days 00:47:49.548058,0.15000000000000002,6.3481091292400745e-09,2.088247613678031e-05,2,1342,4,COMPLETE
83,0.015336336870715055,2020-11-22 17:52:01.869278,2020-11-22 18:41:39.457639,0 days 00:49:37.588361,0.2,2.6210552589441247e-09,4.547011792393589e-05,2,2030,4,COMPLETE
84,0.01534865311504125,2020-11-22 18:41:39.631652,2020-11-22 19:31:17.610025,0 days 00:49:37.978373,0.2,1.838465888455433e-08,5.450764495912188e-05,2,2180,4,COMPLETE
85,0.015331259364056925,2020-11-22 19:31:17.827408,2020-11-22 20:22:25.671432,0 days 00:51:07.844024,0.25,2.3677185943992764e-09,1.215660734235563e-06,2,1952,4,COMPLETE
86,0.015329820701371807,2020-11-22 20:22:25.775453,2020-11-22 21:13:46.785075,0 days 00:51:21.009622,0.25,3.34060389323178e-07,0.00012255072592595102,2,1951,4,COMPLETE
87,0.015350096325044681,2020-11-22 21:13:46.988494,2020-11-22 22:05:07.309933,0 days 00:51:20.321439,0.25,2.8515039595156586e-09,0.00011068868609449614,2,1742,4,COMPLETE
88,0.015341634156490402,2020-11-22 22:05:07.522395,2020-11-22 22:56:15.368092,0 days 00:51:07.845697,0.25,3.151998330982606e-07,1.3708221906461036e-07,2,2075,4,COMPLETE
89,0.015334187448128863,2020-11-22 22:56:15.517057,2020-11-22 23:45:50.743799,0 days 00:49:35.226742,0.2,3.289603087458128e-08,5.945456478578559e-05,2,1985,4,COMPLETE
90,0.015359315077995915,2020-11-22 23:45:50.933539,2020-11-23 00:36:54.147514,0 days 00:51:03.213975,0.25,3.9788407851979864e-08,1.2469768225322891e-06,2,1599,4,COMPLETE
91,0.015340921717230106,2020-11-23 00:36:54.275630,2020-11-23 01:26:25.277976,0 days 00:49:31.002346,0.2,1.505313913594551e-08,5.936321947904906e-05,2,1973,4,COMPLETE
92,0.015345421891137,2020-11-23 01:26:25.403795,2020-11-23 02:15:59.683736,0 days 00:49:34.279941,0.2,3.272953360051283e-09,0.0002466559316056748,2,2259,4,COMPLETE
93,0.015346692467867754,2020-11-23 02:15:59.884754,2020-11-23 03:09:10.562713,0 days 00:53:10.677959,0.30000000000000004,4.761907060602562e-08,5.757479789631182e-06,2,2023,4,COMPLETE
94,0.01534797092562803,2020-11-23 03:09:10.684277,2020-11-23 04:00:38.353831,0 days 00:51:27.669554,0.25,1.1458493055002309e-09,0.00012937749564712403,2,2445,4,COMPLETE
95,0.015356316510994403,2020-11-23 04:00:38.492988,2020-11-23 04:50:34.321406,0 days 00:49:55.828418,0.2,1.0255530669068658e-08,3.993750595315258e-05,2,2819,4,COMPLETE
96,0.01534446235136972,2020-11-23 04:50:34.508400,2020-11-23 05:40:17.323244,0 days 00:49:42.814844,0.2,3.959237495286064e-07,0.0009921053366464291,2,2657,4,COMPLETE
97,0.015353367583834555,2020-11-23 05:40:17.460573,2020-11-23 06:33:07.511654,0 days 00:52:50.051081,0.30000000000000004,2.1809503698053307e-09,2.6634524261151715e-06,2,2174,4,COMPLETE
98,0.015349542889008123,2020-11-23 06:33:07.631097,2020-11-23 07:24:20.950075,0 days 00:51:13.318978,0.25,1.6822553247432364e-08,0.0004118354014845579,2,1715,4,COMPLETE
99,0.015340840575538018,2020-11-23 07:24:21.051845,2020-11-23 08:12:43.252894,0 days 00:48:22.201049,0.15000000000000002,6.244527426461471e-08,6.715272915267888e-05,2,2312,4,COMPLETE
