number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,params_drop_rate5,state
91,0.016941629828863887,2020-11-25 01:23:10.723938,2020-11-25 01:28:24.469332,0 days 00:05:13.745394,relu,"[512, 512, 512, 512, 512]",0.44303952512768957,0.3047178791979485,0.535723837915278,0.29124066233968404,0.5787170735018996,0.46347118015783234,COMPLETE
92,0.01716792075527966,2020-11-25 01:28:24.493590,2020-11-25 01:33:37.396826,0 days 00:05:12.903236,relu,"[512, 512, 512, 512, 512]",0.4613496856949324,0.6904617761226644,0.5693622025832283,0.2634096365182685,0.5542811581148565,0.4028980928388871,COMPLETE
93,0.016923303907648058,2020-11-25 01:33:37.420992,2020-11-25 01:38:52.194074,0 days 00:05:14.773082,relu,"[512, 512, 512, 512, 512]",0.39477342526735326,0.25100031021933666,0.5540653994315332,0.2837111835510037,0.605209360032221,0.3644430631318589,COMPLETE
94,0.016968204221476938,2020-11-25 01:38:52.218415,2020-11-25 01:44:16.696824,0 days 00:05:24.478409,relu,"[1024, 896, 768, 640, 512]",0.37013752604712097,0.2765162121758436,0.47879706220782764,0.20042291138252719,0.6477547469567967,0.44081127624899014,COMPLETE
95,0.017588403433163195,2020-11-25 01:44:16.722209,2020-11-25 01:50:35.398534,0 days 00:06:18.676325,relu,"[2048, 1792, 1536, 1280, 1024]",0.5086772296377781,0.30462924418486514,0.6184133555441285,0.2220470595956538,0.5836030215469769,0.5154776214501869,COMPLETE
96,0.017725528078391534,2020-11-25 01:50:35.424702,2020-11-25 01:56:28.861090,0 days 00:05:53.436388,relu,"[1024, 768, 1280, 1536, 1792]",0.4250869320040116,0.2553569618820535,0.5166086046233695,0.2461261986943017,0.5446893425631991,0.49024343284685323,COMPLETE
97,0.017008628711971438,2020-11-25 01:56:28.889443,2020-11-25 02:01:59.719574,0 days 00:05:30.830131,relu,"[512, 512, 512, 512, 512]",0.43327386327153106,0.3523762335089018,0.6586958741573936,0.34081120163133305,0.5277084121038901,0.46892207362025706,COMPLETE
98,0.01707068004429141,2020-11-25 02:01:59.756471,2020-11-25 02:07:33.582856,0 days 00:05:33.826385,relu,"[512, 512, 512, 512, 512]",0.4848803003498421,0.33597522835089166,0.5418053117170045,0.3608811529279491,0.6765386717822572,0.45859377664804624,COMPLETE
99,0.01724678301211346,2020-11-25 02:07:33.610025,2020-11-25 02:13:08.231486,0 days 00:05:34.621461,elu,"[512, 448, 384, 320, 256]",0.3659850128465927,0.23569747816190778,0.5622627896724814,0.30277177613134587,0.5562866859404386,0.4893629937596248,COMPLETE
100,0.017535849944885627,2020-11-25 03:00:25.058883,2020-11-25 03:06:33.064616,0 days 00:06:08.005733,relu,"[512, 768, 1280, 1536, 1792]",0.34289306178273,0.2849031890810984,0.6319843955729876,0.3242051648601699,0.5917538036194121,0.4761518064266392,COMPLETE
101,0.016841225787241634,2020-11-25 03:06:33.088913,2020-11-25 03:12:03.565645,0 days 00:05:30.476732,relu,"[512, 512, 512, 512, 512]",0.39081282094905745,0.30526479502296494,0.4996272509370033,0.21341512114959438,0.5413560796418225,0.4292314582719777,COMPLETE
102,0.016925549576638565,2020-11-25 03:12:03.591550,2020-11-25 03:17:33.540915,0 days 00:05:29.949365,relu,"[512, 512, 512, 512, 512]",0.3861812915891487,0.2697555421378228,0.5113822041105879,0.27244749470125923,0.5414675681964123,0.434035635874175,COMPLETE
103,0.016831868719388972,2020-11-25 03:17:33.566165,2020-11-25 03:23:04.742179,0 days 00:05:31.176014,relu,"[512, 512, 512, 512, 512]",0.32825117104569773,0.2900268660974534,0.5326537993495601,0.24518342182650243,0.5701195153996166,0.40676216482319383,COMPLETE
104,0.01689743809665374,2020-11-25 03:23:04.767238,2020-11-25 03:28:33.950212,0 days 00:05:29.182974,relu,"[512, 512, 512, 512, 512]",0.3352265414641978,0.2937650561448345,0.48646934152528015,0.20598330049390784,0.5178258626865734,0.413388085027054,COMPLETE
105,0.01799402274002749,2020-11-25 03:28:33.975151,2020-11-25 03:34:45.745147,0 days 00:06:11.769996,relu,"[1024, 1280, 1536, 768, 1792]",0.3529032708862436,0.32535906971078504,0.5296558071040542,0.24209137295093333,0.5625268301778101,0.3346561225231828,COMPLETE
106,0.01690698269024916,2020-11-25 03:34:45.771078,2020-11-25 03:40:18.165696,0 days 00:05:32.394618,relu,"[512, 512, 512, 512, 512]",0.32238445309753005,0.3073626755948709,0.5988253234414622,0.38216520650282715,0.499769324245383,0.37916398895075437,COMPLETE
107,0.016864415236839927,2020-11-25 03:40:18.190997,2020-11-25 03:45:47.678212,0 days 00:05:29.487215,relu,"[512, 512, 512, 512, 512]",0.38908467296995985,0.33476833550745116,0.5076977668257477,0.2141050220226321,0.47220679557875267,0.448359378509741,COMPLETE
108,0.017035962355424306,2020-11-25 03:45:47.701591,2020-11-25 03:51:19.086982,0 days 00:05:31.385391,relu,"[512, 512, 512, 512, 512]",0.38995869870598193,0.3639987288607065,0.5049691916698337,0.3237504013501123,0.46323401899950445,0.6577594965863384,COMPLETE
109,0.016987493761174925,2020-11-25 03:51:19.112171,2020-11-25 03:56:50.952371,0 days 00:05:31.840200,relu,"[512, 512, 512, 512, 512]",0.31603202780989836,0.3427266271922647,0.5476569118596112,0.22836949061971792,0.4727264411017018,0.6816213030877103,COMPLETE
110,0.016874602588978,2020-11-25 03:56:50.977581,2020-11-25 04:02:20.687729,0 days 00:05:29.710148,relu,"[512, 512, 512, 512, 512]",0.4042371164731331,0.3126390291075547,0.5764019675279031,0.4468203266916115,0.43400487261545456,0.40506974337036367,COMPLETE
111,0.01694543952780774,2020-11-25 04:02:20.713982,2020-11-25 04:07:48.361907,0 days 00:05:27.647925,relu,"[512, 512, 512, 512, 512]",0.3664374096998514,0.3132729572229807,0.5776300054436683,0.43868300751361183,0.44511649270803216,0.3457598950265085,COMPLETE
112,0.016909672331647793,2020-11-25 04:07:48.387174,2020-11-25 04:13:18.392383,0 days 00:05:30.005209,relu,"[512, 512, 512, 512, 512]",0.4037843766716097,0.3338654702389399,0.6115478940963776,0.5217681508038797,0.4331644688215108,0.4453685507787789,COMPLETE
113,0.016878157025125674,2020-11-25 04:13:18.417578,2020-11-25 04:18:48.455954,0 days 00:05:30.038376,relu,"[512, 512, 512, 512, 512]",0.3789214631128459,0.30246260060947744,0.5879131090175826,0.25346376578720553,0.49386421862354996,0.4113967506362596,COMPLETE
114,0.016859540503982095,2020-11-25 04:18:48.480591,2020-11-25 04:24:18.997004,0 days 00:05:30.516413,relu,"[512, 512, 512, 512, 512]",0.37759602061796954,0.29785259514908363,0.591218668669268,0.24996842449807616,0.4931647873241737,0.3992635954946145,COMPLETE
115,0.01700257783663614,2020-11-25 04:24:19.021271,2020-11-25 04:30:04.330590,0 days 00:05:45.309319,relu,"[1024, 896, 768, 640, 512]",0.3783930442256784,0.295689102402463,0.586524813748528,0.24869683214419336,0.49695123437702526,0.40769718020432255,COMPLETE
116,0.01786187819558984,2020-11-25 04:30:04.357022,2020-11-25 04:36:22.258072,0 days 00:06:17.901050,relu,"[1024, 768, 1280, 1536, 1792]",0.4139945661175623,0.27176986476275455,0.4884166667927887,0.4708693050821075,0.4602022643282785,0.3952833954601728,COMPLETE
117,0.017736359828421453,2020-11-25 04:36:22.283482,2020-11-25 04:43:22.627787,0 days 00:07:00.344305,relu,"[2048, 1792, 1536, 1280, 1024]",0.3912329117467721,0.37159314304733887,0.4701746913711639,0.5026107705945592,0.5092600135744687,0.36894441912041387,COMPLETE
118,0.016875902171722735,2020-11-25 04:43:22.654109,2020-11-25 04:48:54.272278,0 days 00:05:31.618169,relu,"[512, 512, 512, 512, 512]",0.3451947166945728,0.35493819839017304,0.5994143701927425,0.4393509376789423,0.5243787798933722,0.422687557362706,COMPLETE
119,0.01686468080060815,2020-11-25 04:48:54.298457,2020-11-25 04:54:26.888989,0 days 00:05:32.590532,relu,"[512, 512, 512, 512, 512]",0.41546780041175396,0.316075680282181,0.6057055732060035,0.44273005697080153,0.47646421630169333,0.385695391239824,COMPLETE
120,0.016931858744227212,2020-11-25 04:54:26.916205,2020-11-25 05:00:05.525903,0 days 00:05:38.609698,relu,"[512, 512, 512, 512, 512]",0.416114471774016,0.3537603208076248,0.5968926237881307,0.4508971136756544,0.4230832923811049,0.34940276363196504,COMPLETE
121,0.01692809300900287,2020-11-25 05:00:05.551834,2020-11-25 05:05:37.083266,0 days 00:05:31.531432,relu,"[512, 512, 512, 512, 512]",0.3319843786688476,0.3025290080426813,0.5767152163723093,0.4132433699652254,0.483236098722665,0.31741030430350303,COMPLETE
122,0.016881825461111825,2020-11-25 05:05:37.107558,2020-11-25 05:11:19.243892,0 days 00:05:42.136334,relu,"[512, 512, 512, 512, 512]",0.3463536235172074,0.31456012112819143,0.6048476472690618,0.42942785992085064,0.5217059518049747,0.4138410227740901,COMPLETE
123,0.016876841422415363,2020-11-25 05:11:19.269147,2020-11-25 05:17:00.299293,0 days 00:05:41.030146,relu,"[512, 512, 512, 512, 512]",0.4043632622958785,0.286927096912557,0.6365782495119134,0.46564090069906605,0.47325998136472924,0.38936533291623804,COMPLETE
124,0.016911457606238973,2020-11-25 05:17:00.325401,2020-11-25 05:22:29.951387,0 days 00:05:29.625986,relu,"[512, 512, 512, 512, 512]",0.407162963366875,0.28837767366428585,0.6705751257200159,0.4485648330287724,0.4732484116059807,0.3815975655548069,COMPLETE
125,0.01694201409798245,2020-11-25 05:22:29.976671,2020-11-25 05:28:01.265820,0 days 00:05:31.289149,relu,"[512, 512, 512, 512, 512]",0.3841196850432926,0.3182486653126326,0.6849419845907626,0.4178495884375772,0.5101707103565104,0.4243200373427126,COMPLETE
126,0.01690443370300163,2020-11-25 05:28:01.291100,2020-11-25 05:33:33.269389,0 days 00:05:31.978289,relu,"[512, 512, 512, 512, 512]",0.45541274971297546,0.29712406038142064,0.6388193323661444,0.43448716779415975,0.3988598317410037,0.39922423594054396,COMPLETE
127,0.016861605865762012,2020-11-25 05:33:33.292801,2020-11-25 05:40:05.916063,0 days 00:06:32.623262,relu,"[512, 512, 512, 512, 512]",0.37384468733490267,0.3388623238001238,0.647947391589661,0.4685186019585318,0.4491140117958975,0.3836572859932178,COMPLETE
128,0.017107665296089543,2020-11-25 05:40:05.944019,2020-11-25 05:45:34.659585,0 days 00:05:28.715566,relu,"[512, 448, 384, 320, 256]",0.39481191917385333,0.34806282710765774,0.625954375151838,0.4744158640584411,0.44657121918384884,0.37426724350256874,COMPLETE
129,0.016940166546829397,2020-11-25 05:45:34.684874,2020-11-25 05:51:10.747969,0 days 00:05:36.063095,relu,"[512, 512, 512, 512, 512]",0.42449013289728743,0.33761887586419115,0.6614248852974532,0.38244719367804,0.4738257710986045,0.38589568339585634,COMPLETE
130,0.01789260503796628,2020-11-25 05:51:10.771930,2020-11-25 05:57:30.274112,0 days 00:06:19.502182,relu,"[512, 768, 1280, 1536, 1792]",0.3438400299941815,0.28059314897164134,0.6421190097769837,0.45803709073621296,0.4343884890712804,0.35309861344965743,COMPLETE
131,0.016891260528589826,2020-11-25 05:57:30.299332,2020-11-25 06:03:02.491482,0 days 00:05:32.192150,relu,"[512, 512, 512, 512, 512]",0.3748180582378461,0.31129276527204197,0.654685605665525,0.4453629475468189,0.49834157283621994,0.419772529697502,COMPLETE
132,0.016900433606936435,2020-11-25 06:03:02.516767,2020-11-25 06:08:32.809391,0 days 00:05:30.292624,relu,"[512, 512, 512, 512, 512]",0.4055611889391805,0.3246345579578868,0.5904222657046606,0.4910928714874556,0.4576198743306707,0.43803888450569706,COMPLETE
133,0.016876804895940824,2020-11-25 06:08:32.835715,2020-11-25 06:14:05.535942,0 days 00:05:32.700227,relu,"[512, 512, 512, 512, 512]",0.38424666989647804,0.2644332259251475,0.6168854401168873,0.4606878509088807,0.4921297488146278,0.4040090836473207,COMPLETE
134,0.016893471973560295,2020-11-25 06:14:05.561332,2020-11-25 06:19:37.283024,0 days 00:05:31.721692,relu,"[512, 512, 512, 512, 512]",0.3585146102673521,0.2607617581951312,0.6098008786644322,0.3931165301435965,0.5406770571097467,0.4003742686267751,COMPLETE
135,0.017813801540144104,2020-11-25 06:19:37.308317,2020-11-25 06:25:08.886808,0 days 00:05:31.578491,elu,"[512, 512, 512, 512, 512]",0.3968468319421523,0.2732941205703743,0.6809926752442589,0.4656020347242336,0.4219342575935443,0.39149046052048786,COMPLETE
136,0.01793004030224063,2020-11-25 06:25:08.914123,2020-11-25 06:31:21.478969,0 days 00:06:12.564846,relu,"[1024, 1280, 1536, 768, 1792]",0.365498585384068,0.28682259500732926,0.6242401059142233,0.478194012506428,0.5307563544892443,0.33014698050337743,COMPLETE
137,0.016945959157466536,2020-11-25 06:31:21.503372,2020-11-25 06:36:53.726688,0 days 00:05:32.223316,relu,"[512, 512, 512, 512, 512]",0.4311945734540663,0.3562836761798111,0.6314867204138062,0.4192570462397453,0.4691806788447217,0.42160749174173756,COMPLETE
138,0.016894457087718997,2020-11-25 06:36:53.750907,2020-11-25 06:42:30.515086,0 days 00:05:36.764179,relu,"[512, 512, 512, 512, 512]",0.4135558516879741,0.33630976849603017,0.5491295937492812,0.4923459480184804,0.48684251680573637,0.36005961102795103,COMPLETE
139,0.016967211939701073,2020-11-25 06:42:30.542416,2020-11-25 06:48:37.143856,0 days 00:06:06.601440,relu,"[512, 512, 512, 512, 512]",0.46732518559555736,0.2604660365220603,0.6139333400579476,0.4454204084095698,0.44933974549049815,0.43285461852880935,COMPLETE
140,0.016970129567779508,2020-11-25 06:48:37.172223,2020-11-25 06:54:28.347756,0 days 00:05:51.175533,relu,"[512, 512, 512, 512, 512]",0.38236165345440326,0.31470695622965594,0.6973065421610241,0.5210417455372844,0.5099491708172701,0.37577720405945186,COMPLETE
141,0.016870773142667977,2020-11-25 06:54:28.373113,2020-11-25 07:00:00.189685,0 days 00:05:31.816572,relu,"[512, 512, 512, 512, 512]",0.37561914200295543,0.3011117509264494,0.5971663043990195,0.22000780651875407,0.4936579577571971,0.412852890758188,COMPLETE
142,0.01689749147843211,2020-11-25 07:00:00.216026,2020-11-25 07:05:32.860385,0 days 00:05:32.644359,relu,"[512, 512, 512, 512, 512]",0.3493066415182964,0.29298458477725553,0.5986131713889694,0.20075461191635263,0.4813642134534372,0.40065545774712696,COMPLETE
143,0.01686355805432491,2020-11-25 07:05:32.885823,2020-11-25 07:11:05.023493,0 days 00:05:32.137670,relu,"[512, 512, 512, 512, 512]",0.3700317559328464,0.2763993188386464,0.6433009009663274,0.21806127981284626,0.45787883701002646,0.38758719366903444,COMPLETE
144,0.016871290886977443,2020-11-25 07:11:05.048714,2020-11-25 07:16:37.974516,0 days 00:05:32.925802,relu,"[512, 512, 512, 512, 512]",0.37432359280847033,0.2726964965857989,0.6487493850267801,0.21627576644800156,0.5245015644415127,0.44270420392622073,COMPLETE
145,0.01688022145862289,2020-11-25 07:16:37.999687,2020-11-25 07:22:18.574268,0 days 00:05:40.574581,relu,"[512, 512, 512, 512, 512]",0.33220316065446626,0.27564196562758214,0.6511699595878583,0.2331311881197755,0.5482821384369161,0.45000168587426,COMPLETE
146,0.016899357266179933,2020-11-25 07:22:18.599500,2020-11-25 07:27:49.863910,0 days 00:05:31.264410,relu,"[512, 512, 512, 512, 512]",0.37156008531848755,0.32563830412050093,0.6662292382569404,0.2210691007355392,0.5298316167415473,0.4388695317259039,COMPLETE
